State,2017,2018,2019,2020,2021,USPS,Lat,Lon
Alabama,266359.0,264656.0,393348.0,631747.0,4934193.0,AL,32.6010112,-86.6807365
Alaska,44623.0,44421.0,43385.0,58996.0,724357.0,AK,61.3025006,-158.7750198
Arizona,214791.0,210833.0,212560.0,387296.0,7520103.0,AZ,34.1682185,-111.930907
Arkansas,131171.0,140120.0,124838.0,187051.0,3033946.0,AR,34.7519275,-92.1313784
California,819598.0,684886.0,662497.0,874175.0,39613493.0,CA,37.2718745,-119.2704153
Colorado,265396.0,283376.0,259183.0,375640.0,5893634.0,CO,38.9979339,-105.550567
Connecticut,91616.0,90622.0,90272.0,118382.0,3552821.0,CT,41.5187835,-72.757507
Delaware,27041.0,25771.0,25628.0,42535.0,990334.0,DE,39.145251,-75.4189206
Florida,712315.0,671355.0,681457.0,1112903.0,21944577.0,FL,27.9757279,-83.8330166
Georgia,298994.0,309936.0,304060.0,520724.0,10830007.0,GA,32.6781248,-83.2229757
Hawaii,6422.0,7185.0,6611.0,10855.0,1406430.0,HI,20.46,-157.505
Idaho,101611.0,115685.0,119287.0,163707.0,1860123.0,ID,45.4945756,-114.1424303
Illinois,363127.0,649817.0,1162654.0,1811581.0,12569321.0,IL,39.739318,-89.504139
Indiana,458357.0,505427.0,818119.0,1114898.0,6805663.0,IN,39.7662195,-86.441277
Iowa,85964.0,102146.0,100907.0,149379.0,3167974.0,IA,41.9383166,-93.389798
Kansas,106829.0,96002.0,95196.0,145261.0,2917224.0,KS,38.4987789,-98.3200779
Kentucky,1281049.0,1385309.0,1162091.0,959173.0,4480713.0,KY,37.8222935,-85.7682399
Louisiana,183694.0,171413.0,160891.0,250573.0,4627002.0,LA,30.9733766,-91.4299097
Maine,53318.0,62655.0,51113.0,78998.0,1354522.0,ME,45.2185133,-69.0148656
Maryland,79964.0,77250.0,77680.0,163384.0,6065436.0,MD,38.8063524,-77.2684162
Massachusetts,104072.0,107761.0,110829.0,141795.0,6912239.0,MA,42.0629398,-71.718067
Michigan,258674.0,249878.0,256913.0,576996.0,9992427.0,MI,44.9435598,-86.4158049
Minnesota,381418.0,337076.0,388943.0,557783.0,5706398.0,MN,46.4418595,-93.3655146
Mississippi,139022.0,139465.0,134451.0,211294.0,2966407.0,MS,32.5851062,-89.8772196
Missouri,292935.0,276871.0,283779.0,412163.0,6169038.0,MO,38.3046615,-92.437099
Montana,68414.0,44331.0,65324.0,99472.0,1085004.0,MT,46.6797995,-110.044783
Nebraska,39686.0,40217.0,37666.0,57690.0,1951996.0,NE,41.5008195,-99.680902
Nevada,69218.0,68815.0,70828.0,121081.0,3185786.0,NV,38.502032,-117.0230604
New Hampshire,72032.0,67456.0,63938.0,101653.0,1372203.0,NH,44.0012306,-71.5799231
New Jersey,54152.0,49169.0,48731.0,97134.0,8874520.0,NJ,40.1430058,-74.7311156
New Mexico,80528.0,79995.0,81865.0,111376.0,2105005.0,NM,34.1662325,-106.0260685
New York,199663.0,189348.0,189770.0,277335.0,19299981.0,NY,40.7056258,-73.97968
North Carolina,287192.0,286154.0,292762.0,491437.0,10701022.0,NC,35.2145629,-79.8912675
North Dakota,36971.0,35156.0,34060.0,49228.0,770026.0,ND,47.4678819,-100.3022655
Ohio,420214.0,400351.0,363942.0,568469.0,11714618.0,OH,40.1903624,-82.6692525
Oklahoma,184562.0,187412.0,203064.0,270885.0,3990443.0,OK,35.3097654,-98.7165585
Oregon,171948.0,183438.0,186719.0,278692.0,4289439.0,OR,44.1419049,-120.5380993
Pennsylvania,535576.0,521191.0,515677.0,784577.0,12804123.0,PA,40.9945928,-77.6046984
Rhode Island,12437.0,12766.0,12704.0,27739.0,1061509.0,RI,41.5827282,-71.5064508
South Carolina,221482.0,156658.0,187086.0,309001.0,5277830.0,SC,33.62505,-80.9470381
South Dakota,54412.0,51151.0,48180.0,66498.0,896581.0,SD,44.2126995,-100.2471641
Tennessee,428518.0,387308.0,362128.0,573130.0,6944260.0,TN,35.830521,-85.9785989
Texas,855287.0,886400.0,838787.0,1339362.0,29730311.0,TX,31.1693363,-100.0768425
Utah,150926.0,165089.0,469264.0,708162.0,3310774.0,UT,39.4997605,-111.547028
Vermont,20084.0,22437.0,19786.0,31997.0,623251.0,VT,43.8717545,-72.4477828
Virginia,262497.0,243148.0,267664.0,444697.0,8603985.0,VA,38.0033855,-79.4587861
Washington,292158.0,319924.0,316943.0,421994.0,7796941.0,WA,38.8993487,-77.0145665
West Virginia,122968.0,136306.0,116294.0,153046.0,1767859.0,WV,38.9201705,-80.1816905
Wisconsin,293800.0,252506.0,248341.0,425801.0,5852490.0,WI,44.7862968,-89.8267049
Wyoming,30200.0,33925.0,34568.0,52637.0,581075.0,WY,43.000325,-107.5545669
