Incident ID,State,City Or County,Address,# Killed,# Injured,Full_Address,Latitude,Longitude,Date,Year
1582816,Illinois,Danville,1803  Westview Ave,0,5,"1803  Westview Ave, Danville Illinois",40.1555301092308,-87.61471508589744,December 29, 2019
1582197,New York,Buffalo,50  Henrietta Ave,1,3,"50  Henrietta Ave, Buffalo New York",42.9563206122449,-78.89934789795919,December 29, 2019
1583444,California,Ceres,800  Allacante Dr,0,5,"800  Allacante Dr, Ceres California",37.590897,-120.981631,December 29, 2019
1581590,California,Modesto,1900  Vernon Ave,1,3,"1900  Vernon Ave, Modesto California",37.614474926174495,-121.0279217114094,December 27, 2019
1581103,Texas,Houston,500  Smart St,2,7,"500  Smart St, Houston Texas",29.95991275,-95.56226793134292,December 27, 2019
1580308,Florida,Saint Petersburg,4300 6th St S,0,5,"4300 6th St S, Saint Petersburg Florida",27.72960872463256,-82.64059860402041,December 26, 2019
1579889,California,Oakland,2100  34th Ave,0,4,"2100  34th Ave, Oakland California",37.783701288590606,-122.21961911409396,December 25, 2019
1579970,Iowa,Coralville,954 Boston Way,1,3,"954 Boston Way, Coralville Iowa",41.68764192201704,-91.59938873301564,December 25, 2019
1579856,Virginia,Richmond,1800 E Main St,1,3,"1800 E Main St, Richmond Virginia",37.532898,-77.427455,December 25, 2019
1579266,Louisiana,New Orleans,6400  General Meyer Ave,0,4,"6400  General Meyer Ave, New Orleans Louisiana",29.9239098,-89.9842771,December 24, 2019
1594317,Illinois,Joliet,1200  Cutter Ave,0,5,"1200  Cutter Ave, Joliet Illinois",41.546468,-88.053247,December 24, 2019
1579220,North Carolina,High Point,1226 Montlieu Ave,0,6,"1226 Montlieu Ave, High Point North Carolina",35.979168,-79.980115,December 24, 2019
1577577,Maryland,Baltimore,225 Park Ave,0,7,"225 Park Ave, Baltimore Maryland",39.292552150000006,-76.61785911125338,December 22, 2019
1577518,Illinois,Chicago,5700  S May St,0,13,"5700  S May St, Chicago Illinois",41.7903938,-87.65389313950436,December 22, 2019
1578711,Louisiana,Edgard,2555 LA-18,0,4,"2555 LA-18, Edgard Louisiana",30.04650744821958,-90.58454701114955,December 21, 2019
1577046,Mississippi,Waynesboro,Turner St,1,6,"Turner St, Waynesboro Mississippi",31.6646003,-88.6420331,December 20, 2019
1577438,Alabama,Tuskegee,2900  Davison St,2,2,"2900  Davison St, Tuskegee Alabama",32.399309,-85.720013,December 20, 2019
1575175,Texas,San Antonio,2418 SW Military Dr,0,4,"2418 SW Military Dr, San Antonio Texas",29.35655729032258,-98.53322396774192,December 18, 2019
1573754,Montana,Great Falls,1701 10th Ave S,4,1,"1701 10th Ave S, Great Falls Montana",47.49402992857143,-111.27807394897958,December 17, 2019
1572275,Georgia,Columbus,600  32nd St,1,4,"600  32nd St, Columbus Georgia",32.493986,-84.984949,December 15, 2019
1573471,California,Ivanhoe,15700  Paradise Ave,0,4,"15700  Paradise Ave, Ivanhoe California",36.381905,-119.220453,December 14, 2019
1571348,Missouri,Saint Louis (Moline Acres),9900  Lewis and Clark Blvd,1,3,"9900  Lewis and Clark Blvd, Saint Louis (Moline Acres) Missouri",38.747073,-90.239697,December 12, 2019
