,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
0,0,1581476,27-Dec-19,Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,"1575 Ridenour Pkwy NW, Kennesaw Georgia",33.9917233,-84.5889583
1,1,1577688,22-Dec-19,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,"8407 Plaza Blvd NE, Minneapolis (Spring Lake Park) Minnesota",45.1224263,-93.2342819
2,2,1562685,1-Dec-19,Michigan,Kalamazoo,6300  Proctor St,1,3,"6300  Proctor St, Kalamazoo Michigan",42.285262,-85.506099
3,3,1561398,30-Nov-19,Arkansas,Hensley,6500  E Sardis Rd,0,5,"6500  E Sardis Rd, Hensley Arkansas",34.5440673,-92.3551775
4,4,1559257,27-Nov-19,New York,Bronx,E 153rd St and Courtlandt Ave,0,5,"E 153rd St and Courtlandt Ave, Bronx New York",40.8193717,-73.9182842
5,5,1558067,25-Nov-19,Florida,Brownsville,NW 29th Ave and 44th St,2,2,"NW 29th Ave and 44th St, Brownsville Florida",25.8152048,-80.2424851
6,6,1554446,20-Nov-19,California,Richmond,20th St and Roosevelt Ave,0,4,"20th St and Roosevelt Ave, Richmond California",37.9399917,-122.3505287
7,7,1543835,7-Nov-19,Georgia,Conyers,1800  Green St,2,3,"1800  Green St, Conyers Georgia",33.6844535,-83.9865992
8,8,1540841,3-Nov-19,Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,"Sandyland Cir and CR 823, Nacogdoches Texas",31.654174,-94.7326386
9,9,1539572,1-Nov-19,Arizona,Tolleson,2434 S 86th Ln,0,5,"2434 S 86th Ln, Tolleson Arizona",33.4249156,-112.2465749
10,10,1536706,27-Oct-19,Michigan,Detroit,East Outer Dr and Helen St,0,4,"East Outer Dr and Helen St, Detroit Michigan",42.4411816,-83.0318324
11,11,1535629,27-Oct-19,Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,"Balfour Dr and W Miller Rd, Lansing Michigan",42.6692109,-84.5762821
12,12,1533166,22-Oct-19,Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,"7020 E Green Ave, Oklahoma City (Midwest City) Oklahoma",35.4633759,-97.4050924
13,13,1525999,13-Oct-19,Pennsylvania,Philadelphia,W Clearfield St and N 8th St,0,6,"W Clearfield St and N 8th St, Philadelphia Pennsylvania",39.9987941,-75.1437857
14,14,1523606,10-Oct-19,Florida,Tampa,5410 N Falkenburg Rd,2,2,"5410 N Falkenburg Rd, Tampa Florida",27.9957813,-82.3353752
15,15,1520499,6-Oct-19,Colorado,Denver,7100  Ruth Way,0,4,"7100  Ruth Way, Denver Colorado",39.8257676,-105.0130746
16,16,1517804,1-Oct-19,Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4,"Leonor K. Sullivan Blvd and Poplar St, Saint Louis Missouri",38.6192343,-90.1861085
17,17,1515312,29-Sep-19,Illinois,Round Lake (Round Lake Park),500  Fairlawn Ave,1,3,"500  Fairlawn Ave, Round Lake (Round Lake Park) Illinois",42.3570845,-88.0766525
18,18,1517360,29-Sep-19,Kansas,Claflin,1500  NE 100th Rd,0,4,"1500  NE 100th Rd, Claflin Kansas",38.5074005,-98.4988036
19,19,1509411,21-Sep-19,Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,"Poland Ave and St. Claude Ave, New Orleans Louisiana",29.9648338,-90.0313877
20,20,1508859,20-Sep-19,Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,"Canal Blvd and City Park Ave, New Orleans Louisiana",29.9821623,-90.1107564
21,21,1507092,18-Sep-19,California,Wilmington,800  Bayview Ave,2,2,"800  Bayview Ave, Wilmington California",33.7797063,-118.2698968
22,22,1499300,7-Sep-19,North Carolina,Whiteville,Brittany Ln,3,1,"Brittany Ln, Whiteville North Carolina",34.2481902,-78.6850442
23,23,1497702,4-Sep-19,Louisiana,Marrero,3044 Sorbonne Dr,2,2,"3044 Sorbonne Dr, Marrero Louisiana",29.8508633,-90.1192308
24,24,1492377,31-Aug-19,South Carolina,Moncks Corner,336 Maplewood Rd,0,4,"336 Maplewood Rd, Moncks Corner South Carolina",33.156254,-80.0383634
25,25,1487356,24-Aug-19,Maryland,Temple Hills (Camp Springs),6200  Maxwell Dr,0,7,"6200  Maxwell Dr, Temple Hills (Camp Springs) Maryland",38.8174429,-76.8985587
26,26,1479395,13-Aug-19,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,"E 38th St and E Roosevelt Ave, Tacoma Washington",47.223089,-122.398824
27,27,1527721,4-Aug-19,Louisiana,Lake Charles,110 Pryce St,0,4,"110 Pryce St, Lake Charles Louisiana",30.234419,-93.2177159
28,28,1461352,28-Jul-19,Wisconsin,Chippewa Falls,16964 54th Ave,5,2,"16964 54th Ave, Chippewa Falls Wisconsin",44.9205224,-91.3278391
29,29,1457165,25-Jul-19,California,Canoga Park,21901 Roscoe Boulevard,4,2,"21901 Roscoe Boulevard, Canoga Park California",34.220124,-118.6047055
30,30,1450124,17-Jul-19,Texas,Lubbock,N Elder Ave and E Colgate St,1,3,"N Elder Ave and E Colgate St, Lubbock Texas",33.6024732,-101.8029804
31,31,1441967,8-Jul-19,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,"3900 Martin Luther King Jr Ave SW, Washington District of Columbia",38.8324029,-77.0087428
32,32,1441565,7-Jul-19,Michigan,Flint,Clio Rd and Myrtle St,0,6,"Clio Rd and Myrtle St, Flint Michigan",43.0503962,-83.7326862
33,33,1441613,7-Jul-19,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,"N Tucker Blvd and Convention Plaza, Saint Louis Missouri",38.6332014,-90.1961105
34,34,1440257,5-Jul-19,New York,Brooklyn,Elton St and Belmont Ave,0,4,"Elton St and Belmont Ave, Brooklyn New York",40.6724642,-73.883074
35,35,1439042,3-Jul-19,Texas,Katy,5507 Everhart Manor Ln,2,3,"5507 Everhart Manor Ln, Katy Texas",29.7177492,-95.7969688
36,36,1435578,30-Jun-19,New York,Bay Shore,Farragut Ave,0,6,"Farragut Ave, Bay Shore New York",40.746988,-73.2610992
37,37,1435041,29-Jun-19,Connecticut,Hartford,Judson St and Martin St,0,4,"Judson St and Martin St, Hartford Connecticut",41.7893425,-72.6799544
38,38,1435297,29-Jun-19,Louisiana,Gray,2700  W Park Ave,0,4,"2700  W Park Ave, Gray Louisiana",29.7084481,-90.7912856
39,39,1434971,28-Jun-19,Georgia,Atlanta,Ira St and Bass St SW,0,7,"Ira St and Bass St SW, Atlanta Georgia",33.7356464,-84.3999789
40,40,1432989,27-Jun-19,Georgia,Atlanta,600  Parkway Dr,0,7,"600  Parkway Dr, Atlanta Georgia",33.7708803,-84.3730704
41,41,1429399,22-Jun-19,Virginia,Hampton,1st St and E Pembroke Ave,0,4,"1st St and E Pembroke Ave, Hampton Virginia",37.034294,-76.327798
42,42,1428047,21-Jun-19,California,Santa Maria,519  West Taylor St,5,0,"519  West Taylor St, Santa Maria California",34.975691,-120.440787
43,43,1425161,17-Jun-19,Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,"E Market St and Tower of the Americas Way, San Antonio Texas",29.4213971,-98.4810022
44,44,1423330,16-Jun-19,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,"Dixie Highway and Ormsby Ave, Louisville Kentucky",38.2354477,-85.7875766
45,45,1420432,11-Jun-19,Georgia,Savannah,6900 Block of Damascus Rd,2,2,"6900 Block of Damascus Rd, Savannah Georgia",32.0044661,-81.0727251
46,46,1418180,8-Jun-19,Washington,White Swan,5151 Medicine Valley Rd,5,2,"5151 Medicine Valley Rd, White Swan Washington",46.4225286,-120.823627
47,47,1412430,1-Jun-19,Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,"Suzanne Dr and Robinson Dr, Macon Georgia",32.842935,-83.6916716
48,48,1407189,27-May-19,New Jersey,Trenton,100  Walnut St,1,5,"100  Walnut St, Trenton New Jersey",40.2209688,-74.7489086
49,49,1405749,26-May-19,Virginia,La Crosse,800  Alvis Road,0,5,"800  Alvis Road, La Crosse Virginia",36.6091459,-78.027849
50,50,1405196,25-May-19,Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,"Holly Cove Dr and Schooner Trail, Chesapeake Virginia",36.7998706,-76.39959
51,51,1405221,25-May-19,Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,"N Kelley Ave and NE 26th St, Oklahoma City Oklahoma",35.4968358,-97.4944349
52,52,1399017,18-May-19,Mississippi,Cascilla,700 Leverette Ln,1,4,"700 Leverette Ln, Cascilla Mississippi",33.8848664,-90.1201993
53,53,1393960,13-May-19,Louisiana,New Orleans,2100  4th St,0,4,"2100  4th St, New Orleans Louisiana",29.9355721,-90.0882232
54,54,1392923,11-May-19,Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,"Toll Rd and Bayberry Rd, Effort Pennsylvania",40.9813323,-75.4740167
55,55,1390764,8-May-19,Indiana,Indianapolis,Roache St and Rader St,0,4,"Roache St and Rader St, Indianapolis Indiana",39.8046292,-86.1780773
56,56,1389220,7-May-19,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,"8773 S Ridgeline Blvd, Littleton (Highlands Ranch) Colorado",39.5559595,-104.997907
57,57,1387170,5-May-19,California,Oceano,1001 Cabrillo Hwy,0,6,"1001 Cabrillo Hwy, Oceano California",35.112489,-120.6255962
58,58,1386510,4-May-19,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,"Union Blvd and Northland Ave, Saint Louis Missouri",38.6713502,-90.2637928
59,59,1386575,4-May-19,Delaware,Wilmington,W 27th St and Tatnall St,0,4,"W 27th St and Tatnall St, Wilmington Delaware",39.755791,-75.5356448
60,60,1383752,30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,"9214 South Library Ln, Charlotte North Carolina",35.305966,-80.730937
61,61,1382711,28-Apr-19,Ohio,West Chester,4637 Wyndtree Dr,4,0,"4637 Wyndtree Dr, West Chester Ohio",39.3506968,-84.4677984
62,62,1381734,27-Apr-19,California,Los Angeles,700 N San Fernando Rd,0,6,"700 N San Fernando Rd, Los Angeles California",34.0895046,-118.2263927
63,63,1370795,14-Apr-19,Florida,Miami,NW 19th Ave and 60th St,2,2,"NW 19th Ave and 60th St, Miami Florida",25.8297859,-80.2288686
64,64,1369109,11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,"E 103rd St and S Main St, Los Angeles California",33.9428494,-118.2738951
65,65,1362715,4-Apr-19,Georgia,Stockbridge,300  Eagle Ct,3,2,"300  Eagle Ct, Stockbridge Georgia",33.5269572,-84.2404131
66,66,1355275,25-Mar-19,Nevada,North Las Vegas,2400  W San Miguel St,0,5,"2400  W San Miguel St, North Las Vegas Nevada",36.2358916,-115.1758532
67,67,1349256,17-Mar-19,Georgia,Rochelle,Dennis St,1,3,"Dennis St, Rochelle Georgia",31.9527985,-83.4683149
68,68,1348793,17-Mar-19,Nevada,Las Vegas,600 E Fremont St,0,4,"600 E Fremont St, Las Vegas Nevada",36.1693856,-115.13878
69,69,1324279,11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,"3628 FM 3126, Livingston Texas",30.725292,-95.0579087
70,70,1320286,3-Feb-19,California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,"E Sunny Dunes Rd and El Placer Rd, Palm Springs California",33.8122657,-116.5062457
71,71,1312391,26-Jan-19,Georgia,Albany,300  W Roosevelt,0,4,"300  W Roosevelt, Albany Georgia",31.5814139,-84.1548631
72,72,1302060,16-Jan-19,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,"Emerson St and Spring Park Rd, Jacksonville Florida",30.2911022,-81.6257966
73,73,1303303,16-Jan-19,California,Palmdale,Ranch Center Dr and 40th St W,3,1,"Ranch Center Dr and 40th St W, Palmdale California",34.5833789,-118.2022388
74,74,1292684,4-Jan-19,Virginia,Hurt,3197 Shula Dr,3,2,"3197 Shula Dr, Hurt Virginia",37.0559889,-79.332952
75,75,1292941,3-Jan-19,Arizona,Yuma,3800  E County 18½ St,1,3,"3800  E County 18½ St, Yuma Arizona",32.5675966,-114.5654948
76,76,1289877,1-Jan-19,South Carolina,Columbia,1709 Decker Blvd,0,5,"1709 Decker Blvd, Columbia South Carolina",34.0437454,-80.941347
77,77,1886913,26-Dec-20,Florida,Tampa,N 20th St and E 7th Ave,2,2,"N 20th St and E 7th Ave, Tampa Florida",27.96025,-82.436748
78,78,1887059,26-Dec-20,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,"Washington St and Quincy Ter, Lynn Massachusetts",42.467861,-70.953569
79,79,1886849,26-Dec-20,Florida,Miami,NW 61st St and NW 13th Ave,1,3,"NW 61st St and NW 13th Ave, Miami Florida",25.8311789,-80.218645
80,80,1886372,25-Dec-20,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,"Martin Luther King Jr Blvd and N Seacrest Blvd, Boynton Beach Florida",26.5360983,-80.0642731
81,81,1886721,25-Dec-20,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,"5180 Pine Ridge Rd, Atkins Arkansas",35.1977667,-92.9998016
82,82,1885251,22-Dec-20,Mississippi,Meridian,Jeffrey Acres Rd,5,0,"Jeffrey Acres Rd, Meridian Mississippi",32.2995035,-88.6609658
83,83,1876727,13-Dec-20,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,"1384 Cemetery Hill Dr, Elkview West Virginia",38.4335243,-81.483313
84,84,1876552,12-Dec-20,Maryland,Hyattsville (Landover),8600  Old Ardmore Rd,2,2,"8600  Old Ardmore Rd, Hyattsville (Landover) Maryland",38.9394567,-76.8598724
85,85,1908063,8-Dec-20,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,"611 Flynns Creek Rd, Williamsburg West Virginia",37.992511,-80.5092729
86,86,1870840,5-Dec-20,North Carolina,Autryville,10101 Gip Rd,0,6,"10101 Gip Rd, Autryville North Carolina",34.922166,-78.62882
87,87,1867006,1-Dec-20,Pennsylvania,Morrisville,1 Makefield Rd,1,3,"1 Makefield Rd, Morrisville Pennsylvania",40.197289,-74.8150258
88,88,1864205,28-Nov-20,South Carolina,Conway,3800  Golden Key Rd,0,5,"3800  Golden Key Rd, Conway South Carolina",33.9272726,-79.0373499
89,89,1862603,26-Nov-20,Nevada,Henderson,870 E Lake Mead Pkwy,1,5,"870 E Lake Mead Pkwy, Henderson Nevada",36.0542619,-114.9676079
