,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Full_Address,lat,long
0,1582816,"December 29, 2019",Illinois,Danville,1803  Westview Ave,0,5,"1803  Westview Ave, Danville Illinois",40.1555301092308,-87.61471508589744
1,1582197,"December 29, 2019",New York,Buffalo,50  Henrietta Ave,1,3,"50  Henrietta Ave, Buffalo New York",42.9563206122449,-78.89934789795919
2,1583444,"December 29, 2019",California,Ceres,800  Allacante Dr,0,5,"800  Allacante Dr, Ceres California",37.590897,-120.981631
3,1581590,"December 27, 2019",California,Modesto,1900  Vernon Ave,1,3,"1900  Vernon Ave, Modesto California",37.614474926174495,-121.0279217114094
4,1581103,"December 27, 2019",Texas,Houston,500  Smart St,2,7,"500  Smart St, Houston Texas",29.95991275,-95.56226793134292
6,1580308,"December 26, 2019",Florida,Saint Petersburg,4300 6th St S,0,5,"4300 6th St S, Saint Petersburg Florida",27.72960872463256,-82.64059860402041
7,1579889,"December 25, 2019",California,Oakland,2100  34th Ave,0,4,"2100  34th Ave, Oakland California",37.783701288590606,-122.21961911409396
8,1579970,"December 25, 2019",Iowa,Coralville,954 Boston Way,1,3,"954 Boston Way, Coralville Iowa",41.68764192201704,-91.59938873301564
9,1579856,"December 25, 2019",Virginia,Richmond,1800 E Main St,1,3,"1800 E Main St, Richmond Virginia",37.532898,-77.427455
10,1579266,"December 24, 2019",Louisiana,New Orleans,6400  General Meyer Ave,0,4,"6400  General Meyer Ave, New Orleans Louisiana",29.9239098,-89.9842771
11,1594317,"December 24, 2019",Illinois,Joliet,1200  Cutter Ave,0,5,"1200  Cutter Ave, Joliet Illinois",41.546468,-88.053247
12,1579220,"December 24, 2019",North Carolina,High Point,1226 Montlieu Ave,0,6,"1226 Montlieu Ave, High Point North Carolina",35.979168,-79.980115
13,1577577,"December 22, 2019",Maryland,Baltimore,225 Park Ave,0,7,"225 Park Ave, Baltimore Maryland",39.292552150000006,-76.61785911125338
15,1577518,"December 22, 2019",Illinois,Chicago,5700  S May St,0,13,"5700  S May St, Chicago Illinois",41.7903938,-87.65389313950436
16,1578711,"December 21, 2019",Louisiana,Edgard,2555 LA-18,0,4,"2555 LA-18, Edgard Louisiana",30.04650744821958,-90.58454701114955
17,1577046,"December 20, 2019",Mississippi,Waynesboro,Turner St,1,6,"Turner St, Waynesboro Mississippi",31.6646003,-88.6420331
18,1577438,"December 20, 2019",Alabama,Tuskegee,2900  Davison St,2,2,"2900  Davison St, Tuskegee Alabama",32.399309,-85.720013
19,1575175,"December 18, 2019",Texas,San Antonio,2418 SW Military Dr,0,4,"2418 SW Military Dr, San Antonio Texas",29.35655729032258,-98.53322396774192
20,1573754,"December 17, 2019",Montana,Great Falls,1701 10th Ave S,4,1,"1701 10th Ave S, Great Falls Montana",47.49402992857143,-111.27807394897958
21,1572275,"December 15, 2019",Georgia,Columbus,600  32nd St,1,4,"600  32nd St, Columbus Georgia",32.493986,-84.984949
22,1573471,"December 14, 2019",California,Ivanhoe,15700  Paradise Ave,0,4,"15700  Paradise Ave, Ivanhoe California",36.381905,-119.220453
23,1571348,"December 12, 2019",Missouri,Saint Louis (Moline Acres),9900  Lewis and Clark Blvd,1,3,"9900  Lewis and Clark Blvd, Saint Louis (Moline Acres) Missouri",38.747073,-90.239697
24,1568230,"December 10, 2019",New Jersey,Jersey City,223 Martin Luther King Dr,6,3,"223 Martin Luther King Dr, Jersey City New Jersey",40.7147116,-74.0754342
25,1567932,"December 8, 2019",Texas,Desoto,200  W Wintergreen Rd,2,3,"200  W Wintergreen Rd, Desoto Texas",32.618494,-96.858505
26,1567231,"December 8, 2019",Louisiana,New Orleans,3801 Washington Ave,1,4,"3801 Washington Ave, New Orleans Louisiana",29.9488906,-90.0990511841542
27,1565216,"December 6, 2019",Florida,Pensacola,280 Taylor Rd,4,8,"280 Taylor Rd, Pensacola Florida",30.4780499,-87.1947105
28,1564524,"December 4, 2019",Alabama,Montgomery,500 Eastdale Rd S,2,2,"500 Eastdale Rd S, Montgomery Alabama",32.376413,-86.204633
29,1562043,"December 1, 2019",Louisiana,Cotton Valley,116 Hawthorne Loop,2,3,"116 Hawthorne Loop, Cotton Valley Louisiana",32.813105905196686,-93.42970458367982
30,1561966,"December 1, 2019",Louisiana,New Orleans,2000  N Dorgenois St,2,2,"2000  N Dorgenois St, New Orleans Louisiana",29.98224,-90.064844
31,1561813,"December 1, 2019",Illinois,Aurora,700  S 5th St,1,4,"700  S 5th St, Aurora Illinois",41.742544,-88.312058
33,1561734,"December 1, 2019",Louisiana,New Orleans,700  Canal St,0,12,"700  Canal St, New Orleans Louisiana",29.9530497,-90.0694014
35,1560645,"November 29, 2019",Texas,Amarillo,2650 Dumas Dr,0,7,"2650 Dumas Dr, Amarillo Texas",35.24087693805399,-101.83087625516222
38,1557006,"November 24, 2019",Alabama,Birmingham,7 15th St W,1,4,"7 15th St W, Birmingham Alabama",33.499027,-86.861075
39,1556633,"November 24, 2019",California,Los Angeles,100  E 11th St,0,6,"100  E 11th St, Los Angeles California",34.038948,-118.25808
40,1556984,"November 24, 2019",Louisiana,Cottonport,3846 LA-29,2,2,"3846 LA-29, Cottonport Louisiana",30.992591870644784,-92.08018617120663
41,1555879,"November 23, 2019",California,Los Angeles,833 S Spring St,0,4,"833 S Spring St, Los Angeles California",34.0423785,-118.2544884
42,1556002,"November 23, 2019",Louisiana,Tallulah,Depot St,1,6,"Depot St, Tallulah Louisiana",32.4072437,-91.187437
43,1555135,"November 21, 2019",California,Long Beach,1100  10th St,0,5,"1100  10th St, Long Beach California",33.77888,-118.178911
44,1554807,"November 21, 2019",Washington,Everett,120 West Casino Rd,0,4,"120 West Casino Rd, Everett Washington",47.92180774032327,-122.23446184829128
46,1552068,"November 18, 2019",New Jersey,Newark,139 S 8th St,1,4,"139 S 8th St, Newark New Jersey",40.745734428571424,-74.19613157142858
47,1551531,"November 17, 2019",California,Fresno,5361 E Lamona Ave,4,6,"5361 E Lamona Ave, Fresno California",36.7607744,-119.71526533333332
48,1551162,"November 17, 2019",Ohio,Cleveland,7100  Lawn Ave,0,4,"7100  Lawn Ave, Cleveland Ohio",41.47606196385542,-81.73367860240964
49,1550546,"November 16, 2019",California,San Diego,2152 Flintridge Dr,6,0,"2152 Flintridge Dr, San Diego California",32.677611,-117.069088
50,1548689,"November 14, 2019",California,Santa Clarita,21900 Centurion Way,3,3,"21900 Centurion Way, Santa Clarita California",34.443057,-118.517993
51,1547021,"November 11, 2019",Florida,Belle Glade,SW 7th St,0,4,"SW 7th St, Belle Glade Florida",26.680364,-80.67608
52,1546102,"November 10, 2019",Missouri,Kansas City,4704 Independence Ave,0,4,"4704 Independence Ave, Kansas City Missouri",39.10557589795918,-94.52704771428571
53,1546038,"November 10, 2019",Tennessee,Memphis,2080 E. Brooks Rd,1,4,"2080 E. Brooks Rd, Memphis Tennessee",35.060725,-89.993934
54,1546155,"November 10, 2019",Arkansas,Little Rock,3000  W 12th St,0,4,"3000  W 12th St, Little Rock Arkansas",34.740044,-92.307069
55,1545955,"November 9, 2019",Michigan,Detroit,3800  E McNichols Rd,0,4,"3800  E McNichols Rd, Detroit Michigan",42.418576,-83.06344
56,1546508,"November 9, 2019",Georgia,Vidalia,Wiggins St,0,4,"Wiggins St, Vidalia Georgia",32.227936,-82.40839
57,1545027,"November 8, 2019",North Carolina,Raleigh,503 Bragg St,1,3,"503 Bragg St, Raleigh North Carolina",35.765796,-78.632536
59,1541774,"November 4, 2019",Texas,Houston,5000  Northridge Dr,1,4,"5000  Northridge Dr, Houston Texas",29.671295,-95.348409
60,1540863,"November 3, 2019",Ohio,Toledo,600  Magnolia St,0,4,"600  Magnolia St, Toledo Ohio",41.661972,-83.521434
62,1540280,"November 2, 2019",Louisiana,Baton Rouge,137 Taylor St,0,4,"137 Taylor St, Baton Rouge Louisiana",30.42617728367528,-91.18090537456092
63,1540240,"November 2, 2019",Michigan,Detroit,7000  E. Kirby,1,4,"7000  E. Kirby, Detroit Michigan",42.3607919,-83.06548262690518
65,1539557,"November 1, 2019",Texas,San Angelo,1616 S Chadbourne St,0,4,"1616 S Chadbourne St, San Angelo Texas",31.444618959183675,-100.43453322448978
66,1539347,"October 31, 2019",California,Orinda,114 Lucille Way,5,3,"114 Lucille Way, Orinda California",37.87233560202386,-122.18409624452497
67,1537992,"October 30, 2019",Pennsylvania,Philadelphia,5026 Walton Ave,4,0,"5026 Walton Ave, Philadelphia Pennsylvania",39.94920312244898,-75.22368934693877
68,1537044,"October 29, 2019",Maryland,Baltimore,4700  Liberty Heights Ave,1,3,"4700  Liberty Heights Ave, Baltimore Maryland",39.33167295,-76.69577977179884
69,1537672,"October 29, 2019",California,Long Beach,2709 E 7th St,3,9,"2709 E 7th St, Long Beach California",33.7741317,-118.1071982
70,1536787,"October 28, 2019",Maryland,Baltimore,4160 Pimlico Rd,1,3,"4160 Pimlico Rd, Baltimore Maryland",39.33723375,-76.66307816896551
73,1535478,"October 26, 2019",Texas,Greenville,2275 US-380,2,6,"2275 US-380, Greenville Texas",33.1403476,-96.1469706
74,1534704,"October 24, 2019",Oklahoma,Oklahoma City,1900  NW 12th St,2,2,"1900  NW 12th St, Oklahoma City Oklahoma",35.481614,-97.543448
76,1531326,"October 21, 2019",South Carolina,Sumter,29 Wesmark Blvd,0,4,"29 Wesmark Blvd, Sumter South Carolina",33.9522717093972,-80.37635718739442
77,1530965,"October 20, 2019",Texas,Port Arthur,1100  Vicksburg Ave,1,3,"1100  Vicksburg Ave, Port Arthur Texas",29.886437,-93.931533
78,1530407,"October 19, 2019",Pennsylvania,Duquesne,600  Priscilla Ave,0,4,"600  Priscilla Ave, Duquesne Pennsylvania",40.368155,-79.849579
79,1530276,"October 19, 2019",Texas,El Paso,3812 Truman Ave,1,4,"3812 Truman Ave, El Paso Texas",31.819049897959182,-106.4473873877551
80,1527528,"October 15, 2019",Ohio,Columbus,1600  Manchester Ave,0,4,"1600  Manchester Ave, Columbus Ohio",40.02198973065733,-82.96854410951934
82,1526952,"October 13, 2019",Ohio,Akron,Main St,0,4,"Main St, Akron Ohio",41.0650263,-81.51927045825263
83,1525062,"October 12, 2019",New York,Brooklyn,75 Utica Ave,4,3,"75 Utica Ave, Brooklyn New York",40.676374550000006,-73.93019244999999
84,1525476,"October 12, 2019",Illinois,Chicago,6733 W Irving Park Rd,5,0,"6733 W Irving Park Rd, Chicago Illinois",41.95247805,-87.79513699911647
85,1525408,"October 12, 2019",Pennsylvania,Philadelphia,700  W Russell St,1,3,"700  W Russell St, Philadelphia Pennsylvania",40.003625,-75.141578
86,1525628,"October 12, 2019",Maryland,Baltimore,800  W Lexington St,1,3,"800  W Lexington St, Baltimore Maryland",39.2910158,-76.6331812
