,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
0,5,1581476,"December 27, 2019",Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,"1575 Ridenour Pkwy NW, Kennesaw Georgia",33.9917233,-84.5889583
1,14,1577688,"December 22, 2019",Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,"8407 Plaza Blvd NE, Minneapolis (Spring Lake Park) Minnesota",45.1224263,-93.2342819
2,32,1562685,"December 1, 2019",Michigan,Kalamazoo,6300  Proctor St,1,3,"6300  Proctor St, Kalamazoo Michigan",42.285262,-85.50609899999999
3,34,1561398,"November 30, 2019",Arkansas,Hensley,6500  E Sardis Rd,0,5,"6500  E Sardis Rd, Hensley Arkansas",34.5440673,-92.3551775
4,36,1559257,"November 27, 2019",New York,Bronx,E 153rd St and Courtlandt Ave,0,5,"E 153rd St and Courtlandt Ave, Bronx New York",40.8193717,-73.9182842
5,37,1558067,"November 25, 2019",Florida,Brownsville,NW 29th Ave and 44th St,2,2,"NW 29th Ave and 44th St, Brownsville Florida",25.8152048,-80.2424851
6,45,1554446,"November 20, 2019",California,Richmond,20th St and Roosevelt Ave,0,4,"20th St and Roosevelt Ave, Richmond California",37.9399917,-122.3505287
7,58,1543835,"November 7, 2019",Georgia,Conyers,1800  Green St,2,3,"1800  Green St, Conyers Georgia",33.6844535,-83.9865992
8,61,1540841,"November 3, 2019",Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,"Sandyland Cir and CR 823, Nacogdoches Texas",31.654174,-94.73263860000002
9,64,1539572,"November 1, 2019",Arizona,Tolleson,2434 S 86th Ln,0,5,"2434 S 86th Ln, Tolleson Arizona",33.4249156,-112.2465749
10,71,1536706,"October 27, 2019",Michigan,Detroit,East Outer Dr and Helen St,0,4,"East Outer Dr and Helen St, Detroit Michigan",42.4411816,-83.0318324
11,72,1535629,"October 27, 2019",Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,"Balfour Dr and W Miller Rd, Lansing Michigan",42.6692109,-84.5762821
12,75,1533166,"October 22, 2019",Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,"7020 E Green Ave, Oklahoma City (Midwest City) Oklahoma",35.4633759,-97.40509240000002
13,81,1525999,"October 13, 2019",Pennsylvania,Philadelphia,W Clearfield St and N 8th St,0,6,"W Clearfield St and N 8th St, Philadelphia Pennsylvania",39.9987941,-75.1437857
14,88,1523606,"October 10, 2019",Florida,Tampa,5410 N Falkenburg Rd,2,2,"5410 N Falkenburg Rd, Tampa Florida",27.9957813,-82.3353752
15,94,1520499,"October 6, 2019",Colorado,Denver,7100  Ruth Way,0,4,"7100  Ruth Way, Denver Colorado",39.8257676,-105.0130746
16,99,1517804,"October 1, 2019",Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4,"Leonor K. Sullivan Blvd and Poplar St, Saint Louis Missouri",38.6192343,-90.18610849999999
17,100,1515312,"September 29, 2019",Illinois,Round Lake (Round Lake Park),500  Fairlawn Ave,1,3,"500  Fairlawn Ave, Round Lake (Round Lake Park) Illinois",42.3570845,-88.0766525
18,103,1517360,"September 29, 2019",Kansas,Claflin,1500  NE 100th Rd,0,4,"1500  NE 100th Rd, Claflin Kansas",38.5074005,-98.4988036
19,108,1509411,"September 21, 2019",Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,"Poland Ave and St. Claude Ave, New Orleans Louisiana",29.9648338,-90.0313877
20,112,1508859,"September 20, 2019",Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,"Canal Blvd and City Park Ave, New Orleans Louisiana",29.9821623,-90.1107564
21,115,1507092,"September 18, 2019",California,Wilmington,800  Bayview Ave,2,2,"800  Bayview Ave, Wilmington California",33.7797063,-118.2698968
