,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address
0,1582816,"December 29, 2019",Illinois,Danville,1803  Westview Ave,0,5,"1803  Westview Ave, Danville Illinois"
1,1582197,"December 29, 2019",New York,Buffalo,50  Henrietta Ave,1,3,"50  Henrietta Ave, Buffalo New York"
2,1583444,"December 29, 2019",California,Ceres,800  Allacante Dr,0,5,"800  Allacante Dr, Ceres California"
3,1581590,"December 27, 2019",California,Modesto,1900  Vernon Ave,1,3,"1900  Vernon Ave, Modesto California"
4,1581103,"December 27, 2019",Texas,Houston,500  Smart St,2,7,"500  Smart St, Houston Texas"
5,1581476,"December 27, 2019",Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,"1575 Ridenour Pkwy NW, Kennesaw Georgia"
6,1580308,"December 26, 2019",Florida,Saint Petersburg,4300 6th St S,0,5,"4300 6th St S, Saint Petersburg Florida"
7,1579889,"December 25, 2019",California,Oakland,2100  34th Ave,0,4,"2100  34th Ave, Oakland California"
8,1579970,"December 25, 2019",Iowa,Coralville,954 Boston Way,1,3,"954 Boston Way, Coralville Iowa"
9,1579856,"December 25, 2019",Virginia,Richmond,1800 E Main St,1,3,"1800 E Main St, Richmond Virginia"
10,1579266,"December 24, 2019",Louisiana,New Orleans,6400  General Meyer Ave,0,4,"6400  General Meyer Ave, New Orleans Louisiana"
11,1594317,"December 24, 2019",Illinois,Joliet,1200  Cutter Ave,0,5,"1200  Cutter Ave, Joliet Illinois"
12,1579220,"December 24, 2019",North Carolina,High Point,1226 Montlieu Ave,0,6,"1226 Montlieu Ave, High Point North Carolina"
13,1577577,"December 22, 2019",Maryland,Baltimore,225 Park Ave,0,7,"225 Park Ave, Baltimore Maryland"
14,1577688,"December 22, 2019",Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,"8407 Plaza Blvd NE, Minneapolis (Spring Lake Park) Minnesota"
15,1577518,"December 22, 2019",Illinois,Chicago,5700  S May St,0,13,"5700  S May St, Chicago Illinois"
16,1578711,"December 21, 2019",Louisiana,Edgard,2555 LA-18,0,4,"2555 LA-18, Edgard Louisiana"
17,1577046,"December 20, 2019",Mississippi,Waynesboro,Turner St,1,6,"Turner St, Waynesboro Mississippi"
18,1577438,"December 20, 2019",Alabama,Tuskegee,2900  Davison St,2,2,"2900  Davison St, Tuskegee Alabama"
19,1575175,"December 18, 2019",Texas,San Antonio,2418 SW Military Dr,0,4,"2418 SW Military Dr, San Antonio Texas"
